MP ID,Chemical Formula,FB Sublattice,N FBs,Sites per Unit Cell,Sites in FB Sublattice,d_NN,d_NNN,N Elements,Spacegroup,Spacegroup Number,E per Atom,Bandgap,FB Lattice Dimensionality,FB Lattice IDs,RCSR Name,Flat with decay,Flat with no decay
mp-1663310,Ca2V3O8,V,2,26,6,2.96987,5.21007,3,['P6_3'],173,-2.77798162,1.9017,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-10746,Mg2Cu3Si,Cu,2,12,6,2.48259,4.20096,3,['P6_3/mmc'],194,-0.22251137,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1215536,Zr2SiMo3,Mo,2,12,6,2.59592,4.57975,3,['P6_3/mmc'],194,-0.36131436,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-676014,NaAl11O17,Al,2,58,22,2.79888,2.94076,3,['Cm'],8,-3.35765201,4.4125,"[2, 2]","['SK-4274', 'SK-1']","['None', 'kgm']",True,True
mp-1204510,ZnH7C3NO6,C,6,108,18,3.72829,4.07373,5,['P6_3'],173,-1.11986538,4.5714,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-757012,Li3TiV3O8,V,2,30,6,2.91142,5.12297,4,['P6_3mc'],186,-2.65275764,1.5127,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1177391,Li4MnV3O8,V,1,16,3,2.9629,5.14488,4,['C2/m'],12,-2.38439621,0.5867,[2],['SK-1'],['kgm'],False,True
mp-1222375,Lu(MnAl)6,Mn,2,13,6,2.46274,4.01789,3,['Immm'],71,-0.25029889,0.0,[2],['SK-1'],['kgm'],False,True
mp-765483,Li3V3P8O29,V,2,86,6,4.92647,7.13057,4,['P1'],1,-2.526491,0.8481,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-1188803,Tm3Co11B4,Co,5,18,11,2.43516,2.87443,3,['P6/mmm'],191,-0.39421062,0.0,"[2, 2]","['SK-1', 'LI-51']","['None', 'kgm']",True,True
mp-754917,Li(NiO2)2,Ni,2,28,8,2.7966,3.04976,3,['P6_3mc'],186,-1.1603123,0.3445,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1177211,Li4V3P8O29,V,2,88,6,4.98299,7.16227,4,['P1'],1,-2.56773608,0.5284,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-1248504,AlV3O6,V,1,40,12,2.87739,3.0386,3,['P-3m1'],164,-2.67602273,0.4996,[2],['SK-1'],['kgm'],True,True
mp-756486,Li2Mn3NbO8,Mn,2,28,6,2.93012,5.12843,4,['Cc'],9,-2.35975753,0.7276,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-765130,Li5V3P8O29,V,2,90,6,4.98553,6.99211,4,['P1'],1,-2.61630059,0.9794,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1284706,MgV2O4,V,2,28,8,2.97748,3.52939,3,['R3m'],160,-2.68011846,1.4898,[2],['SK-1'],['kgm'],True,True
mp-772196,Li6V3P8O29,V,2,92,6,4.97386,7.02455,4,['P1'],1,-2.6591114,1.2773,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1177092,Li5V3P8O29,V,2,90,6,4.95162,7.06718,4,['P1'],1,-2.62119216,1.0516,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-1284600,Li4Co3NiO8,Co,2,32,6,2.87938,4.98034,4,['C2'],5,-1.62332566,0.7441,[2],['SK-1'],['kgm'],False,True
mp-1200544,Ta3(Bi2O7)2,Ta,2,42,6,3.78679,6.19264,3,['C2/c'],15,-2.48558757,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1275695,Li2Mn3SnO8,Mn,2,28,6,2.93099,5.13868,4,['P-1'],2,-2.08695614,0.8759,[2],['SK-1'],['kgm'],False,True
